crop,soil_type,pH,weather,available_N,available_P,available_K,rec_N,rec_P,rec_K,Urea(kg),SSP(kg),MOP(kg),fertilizer_N,fertilizer_P,fertilizer_K,notes,
Paddy,Sandy loam,6.3,Rainy,High (254),High (28),High (297),50,24,22,109,150,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Sandy loam,6.2,Dry,High (287),Low (15),High (294),56,20,22,122,0,37,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Sugarcane,Black soil,6.4,Normal,High (275),Low (13),High (264),82,31,40,178,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Black soil,6.1,Rainy,High (289),Low (11),High (158),53,21,21,115,0,35,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Groundnut,Black soil,5.5,Dry,Medium (243),Low (13),High (123),32,21,20,70,131,33,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Soybean,Clay loam,7.4,Dry,High (294),High (26),High (225),27,18,25,59,112,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Sugarcane,Alluvial,6.5,Normal,Low (194),Medium (24),High (181),85,31,30,185,0,50,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Black soil,6.3,Rainy,Medium (204),High (27),High (152),36,25,19,78,156,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Red soil,7.4,Humid,Medium (202),High (27),High (179),43,20,18,93,125,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Clay loam,6.3,Normal,Medium (216),Low (15),High (213),41,18,19,89,112,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Wheat,Clay loam,6.3,Normal,Medium (234),Medium (18),High (217),50,25,15,109,156,25,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Groundnut,Sandy loam,6.8,Rainy,Medium (205),Medium (23),High (156),24,22,25,52,138,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Sugarcane,Sandy loam,7.7,Dry,High (283),Medium (23),High (151),81,31,31,176,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Sugarcane,Red soil,5.9,Rainy,Low (179),High (28),High (143),90,32,40,196,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Groundnut,Red soil,7.3,Humid,Low (199),Low (12),High (167),30,18,25,65,112,42,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Red Gram,Clay loam,6.3,Normal,Low (200),Medium (24),High (224),27,18,21,59,112,35,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Black soil,5.8,Rainy,Low (150),High (26),High (175),28,19,22,61,119,37,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Cotton,Clay loam,6.3,Rainy,High (270),Medium (25),High (139),50,18,25,109,0,42,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Paddy,Red soil,7.8,Humid,Low (151),Low (13),High (107),52,19,18,113,119,30,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Alluvial,6.3,Humid,High (291),Medium (18),High (154),52,21,25,113,0,42,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Soybean,Sandy loam,5.6,Normal,Low (183),Low (12),High (249),23,19,25,50,119,42,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Clay loam,6.8,Dry,High (271),Medium (22),High (252),54,20,15,117,125,25,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Sugarcane,Clay loam,5.8,Dry,Medium (208),High (29),High (121),90,31,31,196,0,52,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Maize,Alluvial,7,Normal,High (261),Medium (17),High (123),55,20,20,120,0,33,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Cotton,Black soil,6.1,Dry,Medium (210),High (26),High (290),44,23,25,96,0,42,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Clay loam,6.6,Rainy,High (274),Medium (20),High (226),92,34,40,200,0,67,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Paddy,Sandy loam,6.6,Rainy,High (252),Medium (17),High (169),51,15,23,111,94,38,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Wheat,Black soil,6.6,Dry,Low (199),High (29),High (161),41,22,17,89,138,28,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Paddy,Black soil,5.5,Humid,High (278),Medium (19),High (202),45,15,22,98,94,37,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Groundnut,Sandy loam,5.7,Dry,High (281),Medium (19),High (181),29,21,21,63,131,35,Urea,SSP,MOP,Apply gypsum at pegging; NPK basal,
Soybean,Black soil,7.1,Rainy,Medium (219),Medium (16),High (249),27,15,19,59,94,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Wheat,Sandy loam,7.8,Normal,High (298),Medium (17),High (103),46,22,19,100,138,32,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Tomato,Alluvial,6.5,Normal,Medium (224),Medium (17),High (117),49,20,31,107,0,52,Urea,DAP,MOP,Additional foliar sprays recommended; N & K in splits,
Sugarcane,Clay loam,6.1,Rainy,Low (156),Medium (16),High (157),84,30,32,183,0,53,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Soybean,Alluvial,6.2,Normal,High (269),High (29),High (281),27,18,16,59,112,27,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Red soil,7,Rainy,Medium (220),High (26),High (262),41,25,16,89,156,27,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Cotton,Alluvial,5.6,Normal,High (300),Medium (22),High (145),42,22,29,91,0,48,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Cotton,Alluvial,6.5,Dry,High (274),Medium (16),High (163),37,19,31,80,0,52,Urea,DAP,MOP,Apply ZnSO₄ if deficiency seen; N in splits,
Sugarcane,Clay loam,5.9,Humid,Medium (221),High (28),High (251),82,29,36,178,0,60,Urea,DAP,MOP,Apply N & K in 3 splits; P basal,
Wheat,Sandy loam,7.4,Rainy,Low (184),High (28),High (126),48,25,20,104,156,33,Urea,SSP,MOP,Top-dress N at crown root initiation; P & K basal,
Soybean,Clay loam,6,Dry,Low (155),Medium (17),High (182),20,19,19,43,119,32,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
Paddy,Clay loam,7,Humid,Medium (215),Medium (17),High (166),45,22,21,98,138,35,Urea,SSP,MOP,Apply N in 2–3 splits; P & K basal at planting,
Maize,Clay loam,7.1,Rainy,High (270),Medium (21),High (214),54,25,23,117,0,38,Urea,DAP,MOP,"Half N basal, half at knee-high stage; P & K basal",
Red Gram,Black soil,6.7,Dry,Medium (201),High (27),High (289),23,18,19,50,112,32,Urea,SSP,MOP,Apply NPK basal; split K at flowering,
Soybean,Sandy loam,7.3,Dry,Medium (247),Medium (17),High (190),30,20,21,65,125,35,Urea,SSP,MOP,Apply NPK basal; ensure proper rhizobium inoculation,
